O*NET-SOC Code	Title	Task ID	Task	Scale ID	Scale Name	Data Value	IMP_rating
11-1011.00	Chief Executives	8823	"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency."	IM	Importance	4.52	88
11-1011.00	Chief Executives	8824	"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems."	IM	Importance	4.32	83
11-1011.00	Chief Executives	8827	"Prepare budgets for approval, including those for funding or implementation of programs."	IM	Importance	4.3	83
11-1011.00	Chief Executives	8826	"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity."	IM	Importance	4.24	81
11-1011.00	Chief Executives	8834	"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services."	IM	Importance	4.17	79
11-1011.00	Chief Executives	8836	Implement corrective action plans to solve organizational or departmental problems.	IM	Importance	4.14	79
11-1011.00	Chief Executives	8825	"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change."	IM	Importance	4.13	78
11-1011.00	Chief Executives	8828	"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products."	IM	Importance	4.13	78
11-1011.00	Chief Executives	8832	"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments."	IM	Importance	4.13	78
11-1011.00	Chief Executives	8831	Appoint department heads or managers and assign or delegate responsibilities to them.	IM	Importance	4.09	77
11-1011.00	Chief Executives	8843	"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals."	IM	Importance	4.09	77
11-1011.00	Chief Executives	8830	Review reports submitted by staff members to recommend approval or to suggest changes.	IM	Importance	4.07	77
11-1011.00	Chief Executives	8829	"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities."	IM	Importance	4.06	77
11-1011.00	Chief Executives	8835	Establish departmental responsibilities and coordinate functions among departments and sites.	IM	Importance	3.98	75
11-1011.00	Chief Executives	8839	"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives."	IM	Importance	3.94	74
11-1011.00	Chief Executives	8840	"Serve as liaisons between organizations, shareholders, and outside organizations."	IM	Importance	3.92	73
11-1011.00	Chief Executives	8837	"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes."	IM	Importance	3.8	70
11-1011.00	Chief Executives	8833	"Preside over, or serve on, boards of directors, management committees, or other governing boards."	IM	Importance	3.79	70
11-1011.00	Chief Executives	8849	Attend and participate in meetings of municipal councils or council committees.	IM	Importance	3.59	65
11-1011.00	Chief Executives	8850	Organize or approve promotional campaigns.	IM	Importance	3.55	64
11-1011.00	Chief Executives	8842	Nominate citizens to boards or commissions.	IM	Importance	4.07	77
11-1011.00	Chief Executives	8851	"Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings."	IM	Importance	3.98	75
11-1011.00	Chief Executives	8847	Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.	IM	Importance	3.9	73
11-1011.00	Chief Executives	8853	"Prepare bylaws approved by elected officials, and ensure that bylaws are enforced."	IM	Importance	3.88	72
11-1011.00	Chief Executives	8844	"Make presentations to legislative or other government committees regarding policies, programs, or budgets."	IM	Importance	3.81	70
11-1011.00	Chief Executives	20461	"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups."	IM	Importance	3.81	70
11-1011.00	Chief Executives	8838	"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting."	IM	Importance	3.78	70
11-1011.00	Chief Executives	8845	Refer major policy matters to elected representatives for final decisions.	IM	Importance	3.7	68
11-1011.00	Chief Executives	8848	Direct or conduct studies or research on issues affecting areas of responsibility.	IM	Importance	3.66	67
11-1011.00	Chief Executives	8846	"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies."	IM	Importance	3.51	63
11-1011.00	Chief Executives	8852	"Represent organizations or promote their objectives at official functions, or delegate representatives to do so."	IM	Importance	3.42	61
11-1011.03	Chief Sustainability Officers	15382	Monitor and evaluate effectiveness of sustainability programs.	IM	Importance	4.38	85
11-1011.03	Chief Sustainability Officers	15384	"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design."	IM	Importance	4.37	84
11-1011.03	Chief Sustainability Officers	15379	"Develop, or oversee the development of, sustainability evaluation or monitoring systems."	IM	Importance	4.33	83
11-1011.03	Chief Sustainability Officers	15372	Supervise employees or volunteers working on sustainability projects.	IM	Importance	4.22	81
11-1011.03	Chief Sustainability Officers	15378	"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups."	IM	Importance	4.04	76
11-1011.03	Chief Sustainability Officers	15380	"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events."	IM	Importance	3.93	73
11-1011.03	Chief Sustainability Officers	15368	Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.	IM	Importance	3.88	72
